transformation,model,quadratic_term
Boundary,DeepGaze IIE,-0.05038985069626013
Boundary,UNISAL,-0.05186387913423841
Compression_1,DeepGaze IIE,-0.0688820427697412
Compression_1,UNISAL,-0.009787014974961768
Compression_2,DeepGaze IIE,-0.05240236907827778
Compression_2,UNISAL,-0.0842342506324237
ContrastChange_1,DeepGaze IIE,-0.1375880027397453
ContrastChange_1,UNISAL,-0.12781684511043798
ContrastChange_2,DeepGaze IIE,-0.07451911455348349
ContrastChange_2,UNISAL,-0.0856646410452427
Cropping_1,DeepGaze IIE,-0.07909621327952007
Cropping_1,UNISAL,-0.05225214977627552
Cropping_2,DeepGaze IIE,-0.027741794324669486
Cropping_2,UNISAL,-0.01626583387368992
Inversion,DeepGaze IIE,-0.008400574319551633
Inversion,UNISAL,-0.04592230100922554
Mirroring,DeepGaze IIE,-0.023420169667713084
Mirroring,UNISAL,0.0059105138845470615
MotionBlur_1,DeepGaze IIE,-0.05570947802797605
MotionBlur_1,UNISAL,-0.055341810559507244
MotionBlur_2,DeepGaze IIE,-0.025098243690861614
MotionBlur_2,UNISAL,-0.006472112784354053
Noise_1,DeepGaze IIE,0.0026896195900837083
Noise_1,UNISAL,-0.08412778923290676
Noise_2,DeepGaze IIE,-0.002441476455622901
Noise_2,UNISAL,-0.13238683200081433
Rotation_1,DeepGaze IIE,-0.04379547775194917
Rotation_1,UNISAL,-0.15920636830664742
Rotation_2,DeepGaze IIE,-0.05634568790242919
Rotation_2,UNISAL,-0.06550927337471171
Shearing_1,DeepGaze IIE,-0.03663861232120186
Shearing_1,UNISAL,-0.08014425661194424
Shearing_2,DeepGaze IIE,-0.03319927103343738
Shearing_2,UNISAL,-0.06682272042461511
Shearing_3,DeepGaze IIE,-0.044114237274191795
Shearing_3,UNISAL,-0.11689184518871855
